pt-br,en
Eu não tive a intenção de te passar tal impressão.,I didn't mean to give you that impression.
Isso! Ganhei duas vezes seguidas!,Yes! I won twice in a row!
Você consegue imaginar como as nossas vidas seriam sem a eletricidade?,Can you imagine what our lives would be like without electricity?
Você consegue imaginar como seriam nossas vidas sem a eletricidade?,Can you imagine what our lives would be like without electricity?
Vocês conseguem imaginar como seriam nossas vidas sem a eletricidade?,Can you imagine what our lives would be like without electricity?
Você pode imaginar como seriam nossas vidas sem a eletricidade?,Can you imagine what our lives would be like without electricity?
Onde fica o banheiro?,Where is the bathroom?
Onde posso encontrar um banheiro?,Where is the bathroom?
"Se você empresta $20 e nunca mais vê essa pessoa, provavelmente valeu a pena.","If you lend someone $20 and never see that person again, it was probably worth it."
A história dele era ridícula demais para alguém acreditar nela.,His story was too ridiculous for anyone to believe.
Você precisa de quantas horas de sono?,How many hours of sleep do you need?
Cada pessoa é um mundo.,Each person is a world.
É uma grande frustração tentar achar seus óculos quando você não pode ver nada sem eles.,It's very frustrating to try to find your glasses when you can't see anything without glasses.
Você acha que os seres humanos um dia vão colonizar a lua?,Do you think mankind will someday colonize the Moon?
Sinto que sou livre.,I feel that I am free.
"Meu irmão é muito importante, ou pelo menos ele pensa que é.",My brother is very important. At least he thinks he is.
Onde você está?,Where are you?
"Quando eu era da sua idade, Plutão era um planeta.","When I was your age, Pluto was a planet."
Os elefantes são os maiores animais terrestres vivos atualmente.,Elephants are the largest land animals alive today.
"Se você me ensinar como dançar, eu te mostrarei minhas cicatrizes escondidas.","If you teach me how to dance, I will show you my hidden scars."
Os elevadores em arranha céus são sistemas vitais.,The elevators in a skyscraper are vital systems.
Frutas e vegetais são essenciais para uma dieta balanceada.,Fruits and vegetables are essential to a balanced diet.
Ele passou o anoitecer lendo um livro.,He spent the evening reading a book.
Você tem pensado nesse problema a manhã inteira. Dê uma parada; vá almoçar.,You have been thinking about this problem the whole morning. Take a break; go eat lunch.
Boa noite. Bons sonhos.,Good night. Sweet dreams.
Boa noite. Sonhe com os anjos.,Good night. Sweet dreams.
Há muitas coisas que você não conhece sobre a minha personalidade.,There are a lot of things you don't know about my personality.
Todo mundo merece uma segunda chance.,Everyone deserves a second chance.
Qual é a vantagem dessa tecnologia?,What is the advantage of this technology?
"Se você não tem esse programa, você pode baixá-lo agora.","If you do not have this program, you can download it now."
Gonzales dá uma bicicleta a todos seus funcionários na Europa.,Gonzales offers a bike to all his employees in Europe.
"Disseram-me que eu sou pragmático, e eu sou.","I have been told that I am pragmatic, and I am."
Você ainda está se perguntando qual é o sentido da vida?,You are still asking yourself what the meaning of life is?
Cheque se o seu nome de usuário e sua senha foram escritos corretamente.,Check that your username and password are written correctly.
Verifique que seu nome de usuário e sua senha estejam corretamente escritos.,Check that your username and password are written correctly.
O tempo passou bem rápido.,Time has passed very fast.
O tempo passou muito rápido.,Time has passed very fast.
Também há boates onde se dança flamenco.,There are also nightclubs where you dance flamenco.
Eu sugiro que a gente saia na sexta.,I suggest that we go out on Friday.
Você tem experiência profissional?,Do you have professional experience?
Quanto você dá de gorjeta na Espanha?,How much do you leave for a tip in Spain?
Quem fez essa pintura?,Who painted this painting?
Nessa hora há um tráfego incrível.,"At this hour, there is incredible traffic."
Nós homens somos acostumados a esperar pelas mulheres.,We men are used to waiting for the women.
Você não tem vergonha de falar desse jeito?,Aren't you ashamed to talk like that?
Ele é argentino e dá aula de tênis.,He's Argentinean and he gives tennis lessons.
Estou grávida de quatro meses.,I am four months pregnant.
Eu uso um marca-passo.,I've got a pacemaker.
"Corte, lave e seque, por favor.","Cut, wash and dry, please."
Eu alimento meu gato toda manhã e toda noite.,I feed my cat every morning and every evening.
"Você poderia, por favor, repetir isso?",Could you please repeat that?
Claro que seria mais barato para você dormir na nossa casa.,It would of course be cheaper for you to sleep at our place.
Custa um braço e uma perna.,It costs an arm and a leg.
Eu preciso do seu conselho.,I need your advice.
Preciso que você me dê um conselho.,I need your advice.
Isso parece ser interessante. O que você disse a ela?,That sounds interesting. What did you tell her?
"Pouco a pouco, você vai notar melhoras nos seus textos.","Little by little, you will notice improvement in your writings."
Às vezes Spenser se preocupa tanto com Trang que ele leva ela a pensar que ele está sendo superprotetor.,Sometimes Spenser cares so much about Trang that he leads her to believe he is being overprotective.
As funções seno e cosseno retornam valores entre -1 e 1 (-1 e 1 incluídos).,The functions sine and cosine take values between -1 and 1 (-1 and 1 included).
Eu sou contra usar a morte como punição. Também sou contra usá-la como recompensa.,I am against using death as a punishment. I am also against using it as a reward.
Posso ficar na sua casa? Não tenho para onde ir.,Can I stay at your place? I have nowhere to go.
Um erro conhecido é melhor do que um fato desconhecido.,A known mistake is better than an unknown truth.
"A vida não é uma ciência exata, ela é uma arte.","Life is not an exact science, it is an art."
"Até que você esteja em paz com o que você é, você nunca estará satisfeito com o que tem.","Until you make peace with who you are, you'll never be content with what you have."
Todo homem toma os limites de seu próprio campo de visão pelos limites do mundo.,Every man takes the limits of his own field of vision for the limits of the world.
O mundo é um livro e aqueles que não viajam leem apenas uma página.,"The world is a book, and those who do not travel read only a page."
"Para o homem que só tem um martelo na sua caixa de ferramentas, todo problema parece um prego.","To the man who only has a hammer in the toolkit, every problem looks like a nail."
"O Japão é cheio de belas cidades. Kyoto e Nara, por exemplo.","Japan is full of beautiful cities. Kyoto and Nara, for instance."
Elas estão te esperando na frente da porta.,They are waiting for you in front of the door.
"Desde que Mario mentiu para mim, eu não falo mais com ele.","Since Mario lied to me, I don't speak to him anymore."
Ele não parece ter a idade que tem.,He doesn't look his age.
Você gosta de rap?,Do you like rap?
Amo viagens.,I love trips.
Eu realmente não estava esperando isso de você.,I really wasn't expecting that from you.
Ele morreu em idade avançada.,He died at a very old age.
Ele morreu muito velho.,He died at a very old age.
Eu estava quase saindo quando o telefone tocou.,I was about to go out when the phone rang.
Preste atenção. Eu vou te mostrar como se faz.,Look carefully. I'm going to show you how it's done.
Eu faço compras toda manhã.,I go shopping every morning.
As pessoas deveriam entender que o mundo está mudando.,People should understand that the world is changing.
Por que você quer ir embora hoje?,Why do you want to leave today?
Vou pegar meu carro.,I'm going to take my car.
Você não pode conseguir o impossível sem tentar o absurdo.,You cannot achieve the impossible without attempting the absurd.
"Você só deve contar consigo mesmo. E mesmo assim, nem tanto.","You should only count on yourself--but even then, not too much."
Ficar quieto na sala de aula é respeitar o sono dos outros.,To be quiet in class is to respect other people's sleep.
Axioma de Cole: a soma da inteligência no planeta é constante; a população está crescendo.,Cole's Axiom: The sum of the intelligence on the planet is a constant; the population is growing.
As pessoas vão aceitar muito melhor sua ideia se você as disser que Benjamin Franklin já falou ela antes.,People will accept your idea much more readily if you tell them Benjamin Franklin said it first.
Aprendemos pela experiência que homens nunca aprendem nada pela experiência.,We learn from experience that men never learn anything from experience.
Me ensine como é que você faz.,Teach me how you do it.
Eu não espero nada de você.,I don't expect anything from you.
Queres um suco de frutas?,Do you want fruit juice?
Ele é uma boa pessoa.,He's a good person.
Faça como quiser.,Do as you want.
Não existe amor sem ciúmes.,There's no love without jealousy.
"Nenhum amor é feio, nenhuma prisão é bela.",No love is foul nor prison fair.
Sinta-se em casa.,Make yourself at home.
Finja que a casa é sua.,Make yourself at home.
Por que você não virá conosco?,Why aren't you coming with us?
Por que você não virá com a gente?,Why aren't you coming with us?
